wono	ComponentName	UnitDescription	Age	LastActivity	ActualLabHour	TargetLabour	
6704573	Engine	Sykes HH220iSS	33	Waiting Part	125	350	
6704574	Fan Pulley Brgs	Sykes HH220iSS	33	Inspection	7		
6707591	Engine	Cat 785C	31	Washing	25		
6707986	Bevel Gear	Cat 785C	31	Waiting Part	31	79.5	
6708037	Torque Convertor	Cat D9R	31	Waiting Execution			
6708084	Transmission	Cat 785C	31	MPI	79.5	179	
6708129	Torque Convertor	Cat 773E	31	Waiting Submit Part	31	70	
6708149	Convertor Scav Pump	Cat 773E	31	Inspection	8.5	22	
6708225	Brake	Cat 16M	31	Waiting Part	15	33	
6708199	Transmission	Cat 777D	31	Waiting Part	86	160	
6708180	Transmission	Cat 777D	31	Waiting Part	86	160	
6708253	Final Drive	Cat 785C	31	Waiting MPI	43	69	
6708263	Final Drive	Cat 785C	31	Waiting Part	17	48	
6708266	Final Drive	Cat 785C	31	Waiting Part	19	37	
6709257	Circle Drive Box	Cat 14M	30	Waiting Part	18.5	35	
6709299	Final Drive	Cat 773E	30	Waiting Part	62.5	96	
6709368	Bevel Gear	Cat 777D	30	Waiting Part	16	21	
6709331	Bevel Gear	Cat 777D	30	Waiting Part	24	45	
6711096	Bevel Gear	Cat 777D	29	Waiting Part	22.5	45	
6711133	Bevel Gear	Cat 777D	29	Waiting Part	15.5	21	
6711152	Bevel Gear	Cat 777D	29	Waiting Part	24	45	
6711162	Bevel Gear	Cat 777D	29	Waiting Part	17	21	
6711175	Transmission	Cat D8R	29	Waiting Execution			
6711185	Final Drive	Cat 785C	29	Waiting Part	44.5	69	
6711200	Final Drive	Cat 785C	29	Waiting Part	17	48	
6711206	Final Drive	Cat 785C	29	Waiting Part	19.5	37	
6712405	Transmission	Cat 777D	28	Waiting Part	86.5	160	
6715718	Final Drive	Cat 777D	24	Waiting Part	17	39	
6715720	Final Drive	Cat 777D	24	Waiting Part	17	27	
6715942	Transmission	Cat 777E	24	Waiting Part	85	160	
6715957	Torque Convertor	Cat D10T	24	Waiting Part	23	58	
6715962	Bevel Gear	Cat 777D	24	Waiting Part	23	45	
6715986	Bevel Gear	Cat 777D	24	Waiting Part	14	21	
